Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment,Employment
occupation_construction_rate,occupation_public_rate,occupation_information_rate,occupation_finance_rate,occupation_education_rate,occupation_administrative_rate,occupation_manufacturing_rate,occupation_wholesale_rate,occupation_retail_rate,occupation_transportation_rate,occupation_arts_rate,occupation_agriculture_rate,occupancy_vacant_rate,occupancy_owner_rate,mortgage_with_rate,employ_rate,poverty_family_below_poverty_level_rate,poverty_family_below_poverty_level,poverty_family_count,unemployed,average_household_income,gini_index,per_capita_income
0.02617801,0.058027923,0.016143106,0.047993019,0.17495637,0.102094241,0.126963351,0.004363002,0.198516579,0.078970332,0.109075044,0.027486911,0.069777584,0.712167466,0.499693815,0.91314741,0.120766773,189,1565,218,49913.83029,0.3694,19842
0.09964181,0.035818951,0.022468251,0.077173559,0.159231521,0.036470205,0.100944318,0.014001954,0.076196679,0.119830674,0.127320091,0.023445132,0.105957768,0.767722474,0.623280943,0.926674713,0.046038544,86,1868,243,70268.78954,0.4498,27052
0.040575916,0.013089005,0,0,0.215968586,0.045811518,0.213350785,0.006544503,0.197643979,0.044502618,0.053664921,0.120418848,0.345626072,0.362778731,0.572104019,0.949068323,0.172236504,67,389,41,51448.09961,0.5841,23041
0.041666667,0.043209877,0.010288066,0.024176955,0.199588477,0.033950617,0.281378601,0.037037037,0.135802469,0.022119342,0.046296296,0.083333333,0.073476703,0.667264038,0.537153089,0.94368932,0.091803279,112,1220,116,62082.33398,0.3985,24735
0.018726592,0.058676654,0.016229713,0.026217228,0.168539326,0.042446941,0.214731586,0,0.11360799,0.11360799,0.031210986,0.161048689,0.221052632,0.348325359,0.343406593,0.909194098,0.211908932,121,571,80,42549.38575,0.4389,14966
0.048571429,0.051428571,0.024761905,0.036190476,0.18952381,0.02,0.32,0.017142857,0.098095238,0.066666667,0.021904762,0.082857143,0.054433714,0.529411765,0.63681592,0.837988827,0.23126615,179,774,203,52196.37883,0.4477,20149
0.047193878,0.047193878,0.019132653,0.011479592,0.227040816,0.016581633,0.25,0.025510204,0.084183673,0.0625,0.06122449,0.095663265,0.147560976,0.503658537,0.535108959,0.856830601,0.147792706,77,521,131,57294.56366,0.4268,21236
0.063480482,0.046333455,0.019336009,0.016782196,0.197738052,0.024808464,0.330901131,0.025902955,0.130244436,0.039401678,0.068223276,0,0.120353982,0.524955752,0.658125421,0.913666667,0.291878173,460,1576,259,44935.37223,0.4616,17792
0,0.039173014,0,0.101196953,0.252448313,0.063112078,0.241566921,0.011969532,0.13710555,0.041349293,0.084874864,0,0.291617473,0.478748524,0.358816276,0.858076564,0.253793103,184,725,152,28866.5,0.4615,12730
