Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Employment,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy
avg_electricity_retail_rate,heating_design_temperature,cooling_design_temperature,heating_fuel_gas_rate,heating_fuel_electricity_rate,heating_fuel_fuel_oil_kerosene_rate,heating_fuel_coal_coke_rate,heating_fuel_solar_rate,heating_fuel_other_rate,heating_fuel_none_rate,median_household_income,electricity_price_residential,electricity_price_commercial,electricity_price_industrial,electricity_price_transportation,electricity_price_overall,electricity_consume_residential,electricity_consume_commercial,electricity_consume_industrial,electricity_consume_total
7.95,-3.78,30.78,0.332395687,0.529770277,0,0.137834037,0,0,0,41146,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-4.13,30.57,0.493040911,0.384647828,0,0.122311261,0,0,0,48628,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-2.39,31.35,0.635648755,0.364351245,0,0,0,0,0,29821,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-2.39,31.35,0.454545455,0.529335912,0.004513217,0.005157963,0,0.000644745,0.005802708,50406,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-2.57,31.17,0.562653563,0.418918919,0.002457002,0.006142506,0,0.006142506,0.003685504,31048,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-2.57,31.17,0.376044568,0.610027855,0.006499536,0.007428041,0,0,0,35685,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-2.57,31.17,0.503576538,0.493562232,0,0,0,0.00286123,0,45078,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-2.39,31.35,0.498591549,0.496981891,0,0.004426559,0,0,0,34939,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-2.39,31.35,0.636666667,0.344166667,0,0.019166667,0,0,0,20233,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-2.39,31.35,0.600934579,0.399065421,0,0,0,0,0,40602,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
7.95,-2.57,31.17,0.664134346,0.31107557,0,0.019192323,0,0,0.005597761,34424,9.82,8.32,6.23,11.21,8.19,1122,5396,37262,43780
