Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography
earth_temperature_amplitude,frost_days,air_temperature,relative_humidity,daily_solar_radiation,atmospheric_pressure,wind_speed,earth_temperature,heating_degree_days,cooling_degree_days,lat,lon,elevation,total_area,water_area,land_area
18.49,64,14.1,0.675,4.23,98.4,4.8,13.8,2208,2464,36.186,-93,287,100.7933,0.1391597,100.6541
18.54,65,13.8,0.683,4.23,98,4.7,13.7,2257,2421,36.206,-93.198,323,115.5364,0.2500347,115.2863
17.59,46,15.7,0.686,4.24,100.4,4.1,15.8,1830,2808,35.926,-89.908,117,1.387026,0,1.387026
17.59,46,15.7,0.686,4.24,100.4,4.1,15.8,1830,2808,35.871,-89.884,117,248.3799,9.342444,239.0374
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.729,-90.088,111,168.9574,0.09322205,168.8642
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.708,-90.034,111,20.80194,0.001713521,20.80023
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.582,-90.014,111,118.4865,3.820171,114.6663
17.59,46,15.7,0.686,4.24,100.4,4.1,15.8,1830,2808,35.942,-89.881,117,15.39043,0.07152002,15.31891
17.59,46,15.7,0.686,4.24,100.4,4.1,15.8,1830,2808,35.901,-89.922,117,6.220415,0.02863025,6.191785
17.59,46,15.7,0.686,4.24,100.4,4.1,15.8,1830,2808,35.957,-89.977,117,12.7191,0,12.7191
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.885,-90.172,111,162.491,4.315678,158.1754
17.59,46,15.7,0.686,4.24,100.4,4.1,15.8,1830,2808,35.705,-89.957,117,9.487771,0.2913913,9.19638
17.59,46,15.7,0.686,4.24,100.4,4.1,15.8,1830,2808,35.964,-89.956,117,17.57132,0,17.57132
16.97,29,17.5,0.693,4.33,101.1,3.2,17.7,1396,3224,33.303,-91.265,60,566.0685,36.42165,529.6469
16.97,29,17.5,0.693,4.33,101.1,3.2,17.7,1396,3224,33.495,-91.42,60,14.76725,0.2803345,14.48691
16.97,29,17.5,0.693,4.33,101.1,3.2,17.7,1396,3224,33.322,-91.278,60,27.98097,2.462312,25.51866
16.97,29,17.5,0.693,4.33,101.1,3.2,17.7,1396,3224,33.087,-91.226,60,81.97093,7.319183,74.65175
17.8,40,16.2,0.68,4.25,99.7,3.6,16,1669,2923,34.619,-93.536,174,167.0035,17.23117,149.7723
17.8,40,16.2,0.68,4.25,99.7,3.6,16,1669,2923,34.63,-93.716,174,272.2399,2.197012,270.0429
17.8,40,16.2,0.68,4.25,99.7,3.6,16,1669,2923,34.443,-93.67,174,361.0459,0.9810841,360.0648
