Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population,Population
number_of_years_of_education,diversity,health_insurance_public_rate,health_insurance_none_rate,age_median,age_18_24_rate,age_25_34_rate,age_more_than_85_rate,age_75_84_rate,age_35_44_rate,age_45_54_rate,age_65_74_rate,age_55_64_rate,age_10_14_rate,age_15_17_rate,age_5_9_rate,household_type_family_rate,dropout_16_19_inschool_rate,household_count,average_household_size,housing_unit_count,housing_unit_occupied_count,housing_unit_median_value,housing_unit_median_gross_rent,education_less_than_high_school_rate,education_high_school_graduate_rate,education_college_rate,education_bachelor_rate,education_master_rate,education_professional_school_rate,education_doctoral_rate,race_white_rate,race_black_africa_rate,race_indian_alaska_rate,race_asian_rate,race_islander_rate,race_other_rate,race_two_more_rate,population,population_density
12.91857028,0.050464356,0.415722121,0.117367459,40.2,0.104043127,0.121473495,0.021024259,0.047079964,0.14195867,0.125606469,0.092183288,0.119317161,0.042048518,0.06163522,0.058939802,0.733708392,1,2133,2.57,2293,2133,117000,664,0.126578877,0.376780435,0.358237033,0.079548508,0.046492878,0.012362268,0,0.974303684,0.003414196,0.007367475,0,0,0.000718778,0.014195867,5565,55.28835
12.82176691,0.02902966,0.384747349,0.107298815,41,0.069245165,0.128353088,0.012164691,0.056300686,0.1172801,0.125701809,0.118839676,0.149251404,0.069089208,0.038053649,0.07797879,0.787853226,0.992307692,2371,2.7,2652,2371,115300,589,0.143203349,0.375633399,0.329808328,0.099801718,0.042740692,0.00154219,0.007270324,0.985339988,0,0.002963194,0.001871491,0.002183406,0,0.007641921,6412,55.61804
12.28872668,0.44006828,0.420928865,0.183421517,42.5,0.069370958,0.140505585,0.019988242,0.032333921,0.161081717,0.104056437,0.092886537,0.174015285,0.084656085,0.058201058,0.023515579,0.50982962,0.906666667,763,2.19,1166,763,73100,677,0.278994323,0.303325223,0.259529603,0.085158151,0.03730738,0.01216545,0.02351987,0.225749559,0.711934156,0,0,0,0.040564374,0.021751911,1701,1226.365
12.90992311,0.214694514,0.309278351,0.136535077,38.1,0.093789288,0.141061101,0.012320845,0.045008801,0.144832789,0.132511944,0.073673623,0.137289414,0.073673623,0.038471209,0.053809404,0.786589297,0.955156951,1551,2.56,1674,1551,103500,737,0.131087514,0.385206884,0.314902966,0.119004028,0.03991212,0.004760161,0.005126327,0.881820468,0.085491577,0,0.008800603,0,0.01558964,0.008297712,3977,16.63756
11.62992652,0.522974311,0.562581771,0.188835587,32.9,0.14380101,0.10998834,0.011659541,0.037310532,0.134862029,0.137582588,0.052467936,0.097940148,0.076564322,0.023319083,0.050136028,0.701474201,0.723880597,814,2.82,1045,814,64100,593,0.269873079,0.44756179,0.225784903,0.041416166,0.015364061,0,0,0.60551885,0.32957637,0.003886514,0.00272056,0,0.033035367,0.02526234,2573,15.2371
12.54963235,0.522602234,0.450720243,0.116376042,41.6,0.081325301,0.148259705,0.045850067,0.030789826,0.135542169,0.097054886,0.09772423,0.173025435,0.094712182,0.012382865,0.03480589,0.718662953,1,1077,2.48,1139,1077,91500,682,0.227941176,0.295496324,0.317555147,0.109375,0.019301471,0.001838235,0.028492647,0.607095047,0.327643909,0.004685408,0.025100402,0,0.027777778,0.007697456,2988,143.6523
12.25308642,0.279846948,0.458611825,0.159383033,39.4,0.08277635,0.106940874,0.013367609,0.044730077,0.142416452,0.172750643,0.08688946,0.099228792,0.059640103,0.03033419,0.080205656,0.745350501,0.823529412,699,2.78,820,699,81600,571,0.216049383,0.385030864,0.268518519,0.101080247,0.029320988,0,0,0.83496144,0.151156812,0,0,0,0.002056555,0.011825193,1945,16.96227
12.51285414,0.517065078,0.40438583,0.182947401,28.4,0.125435013,0.159328189,0.008170676,0.028446058,0.085338175,0.142381601,0.059161749,0.093962778,0.072628234,0.040248146,0.072628234,0.634205231,0.891304348,2485,2.62,2825,2485,83000,623,0.18887723,0.34679958,0.354931794,0.05089192,0.057187828,0.001311647,0,0.410954759,0.559993948,0,0,0,0.010289,0.018762294,6609,431.4275
12.27403315,0.285648996,0.514295926,0.150464618,36,0.094710508,0.136168692,0.020371694,0.042887777,0.092923517,0.130450322,0.081486776,0.142601858,0.062902073,0.063259471,0.09042173,0.604166667,0.954545455,1200,2.33,1694,1200,47400,583,0.194475138,0.425966851,0.272928177,0.073480663,0.028729282,0,0.00441989,0.172623302,0.827376698,0,0,0,0,0,2798,451.8891
