Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
travel_time_average,transportation_home_rate,transportation_car_alone_rate,transportation_walk_rate,transportation_carpool_rate,transportation_motorcycle_rate,transportation_bicycle_rate,transportation_public_rate,travel_time_less_than_10_rate,travel_time_10_19_rate,travel_time_20_29_rate,travel_time_30_39_rate,travel_time_40_59_rate,travel_time_60_89_rate
25,0.032794053,0.877131613,0.00218627,0.083078268,0,0,0,0.141048825,0.349457505,0.27034358,0.110307414,0.039330922,0.011754069
20,0.017928287,0.804780876,0.022908367,0.153386454,0,0,0,0.113590264,0.56423259,0.161933739,0.095672752,0.026369168,0.008789723
15,0.009776536,0.688547486,0.020949721,0.208100559,0,0.025139665,0,0.435825106,0.279266573,0.155148096,0.064880113,0,0.064880113
17,0.001583113,0.801055409,0.016886544,0.165699208,0,0,0.003166227,0.251057082,0.423361522,0.21141649,0.063953488,0.011627907,0.026955603
20,0.00257732,0.783505155,0.042525773,0.154639175,0,0,0,0.197674419,0.30878553,0.257105943,0.177002584,0.025839793,0.019379845
16,0.019569472,0.73776908,0,0.227005871,0,0.007827789,0,0.459081836,0.268463074,0.097804391,0.0249501,0.083832335,0.065868263
20,0.037711313,0.769830949,0.027308192,0.11573472,0,0,0.011703511,0.206756757,0.413513514,0.124324324,0.148648649,0.054054054,0.047297297
16,0.020287717,0.842124677,0,0.137587606,0,0,0,0.305722892,0.364834337,0.201807229,0.076054217,0.019201807,0.020331325
17,0.094609461,0.661166117,0.01210121,0.158415842,0,0,0,0.27217497,0.296476306,0.210206561,0.179829891,0.027946537,0
21,0.016113744,0.892890995,0,0.061611374,0.025592417,0,0.003791469,0.157996146,0.308285164,0.29672447,0.157996146,0.036608863,0.023121387
24,0.011703511,0.788903338,0.010836584,0.139575206,0,0,0,0.262719298,0.192982456,0.10745614,0.178508772,0.235526316,0.007017544
12,0.027027027,0.699780862,0.018261505,0.228634039,0,0,0,0.45045045,0.392642643,0.057807808,0.068318318,0.005255255,0.018768769
16,0,0.883534137,0.026907631,0.089558233,0,0,0,0.326104418,0.41686747,0.106827309,0.081927711,0,0.05502008
22,0.006472492,0.854368932,0.017799353,0.108414239,0,0,0,0.166123779,0.314332248,0.191368078,0.147394137,0.14495114,0.035830619
17,0,0.783034258,0.032626427,0.099510604,0,0,0.013050571,0.399673736,0.327895595,0.065252855,0.137030995,0.017944535,0.044045677
20,0.003466205,0.780762565,0.029462738,0.128249567,0,0,0.025996534,0.269565217,0.354782609,0.196521739,0.073913043,0.071304348,0.004347826
21,0.005540166,0.82132964,0.019390582,0.092797784,0,0,0.004155125,0.293871866,0.330083565,0.178272981,0.071030641,0.058495822,0.020891365
27,0.033515199,0.838659392,0.025720966,0.097427903,0,0,0.004676539,0.19516129,0.280645161,0.092741935,0.186290323,0.106451613,0.108064516
30,0.036601307,0.815686275,0,0.147712418,0,0,0,0.147896879,0.226594301,0.177747626,0.13568521,0.198100407,0.056987788
28,0.02147651,0.726174497,0.112751678,0.137583893,0.000671141,0,0,0.203703704,0.209876543,0.130315501,0.096021948,0.244855967,0.082304527
