occupation_construction_rate,occupation_public_rate,occupation_education_rate,occupation_manufacturing_rate,occupation_arts_rate,travel_time_average,travel_time_less_than_10_rate,travel_time_10_19_rate,travel_time_20_29_rate,travel_time_30_39_rate,travel_time_40_59_rate,travel_time_60_89_rate,incentive_nonresidential_state_level,feedin_tariff,sales_tax,cooling_design_temperature,heating_fuel_gas_rate,heating_fuel_electricity_rate,heating_fuel_fuel_oil_kerosene_rate,heating_fuel_coal_coke_rate,electricity_consume_commercial,electricity_consume_industrial,electricity_consume_total,diversity,age_18_24_rate,age_25_34_rate,age_more_than_85_rate,age_75_84_rate,household_count,housing_unit_count,housing_unit_occupied_count,education_college_rate,race_white_rate,race_black_africa_rate,race_asian_rate,earth_temperature_amplitude,relative_humidity,atmospheric_pressure,elevation,total_area,land_area,number_of_solar_system_per_household,solar_panel_area_divided_by_area,solar_panel_area_per_capita
0.02617801,0.058027923,0.17495637,0.126963351,0.109075044,25,0.141048825,0.349457505,0.27034358,0.110307414,0.039330922,0.011754069,4,0,0,30.78,0.332395687,0.529770277,0,0.137834037,5396,37262,43780,0.050464356,0.104043127,0.121473495,0.021024259,0.047079964,2133,2293,2133,0.358237033,0.974303684,0.003414196,0,18.49,0.675,98.4,287,100.7933,100.6541,0,0,0
0.09964181,0.035818951,0.159231521,0.100944318,0.127320091,20,0.113590264,0.56423259,0.161933739,0.095672752,0.026369168,0.008789723,4,0,0,30.57,0.493040911,0.384647828,0,0.122311261,5396,37262,43780,0.02902966,0.069245165,0.128353088,0.012164691,0.056300686,2371,2652,2371,0.329808328,0.985339988,0,0.001871491,18.54,0.683,98,323,115.5364,115.2863,0,0,0
0.040575916,0.013089005,0.215968586,0.213350785,0.053664921,15,0.435825106,0.279266573,0.155148096,0.064880113,0,0.064880113,4,0,0,31.35,0.635648755,0.364351245,0,0,5396,37262,43780,0.44006828,0.069370958,0.140505585,0.019988242,0.032333921,763,1166,763,0.259529603,0.225749559,0.711934156,0,17.59,0.686,100.4,117,1.387026,1.387026,0,0,0
0.041666667,0.043209877,0.199588477,0.281378601,0.046296296,17,0.251057082,0.423361522,0.21141649,0.063953488,0.011627907,0.026955603,4,0,0,31.35,0.454545455,0.529335912,0.004513217,0.005157963,5396,37262,43780,0.214694514,0.093789288,0.141061101,0.012320845,0.045008801,1551,1674,1551,0.314902966,0.881820468,0.085491577,0.008800603,17.59,0.686,100.4,117,248.3799,239.0374,0.007736944,1.220025922,0.076195604
0.018726592,0.058676654,0.168539326,0.214731586,0.031210986,20,0.197674419,0.30878553,0.257105943,0.177002584,0.025839793,0.019379845,4,0,0,31.17,0.562653563,0.418918919,0.002457002,0.006142506,5396,37262,43780,0.522974311,0.14380101,0.10998834,0.011659541,0.037310532,814,1045,814,0.225784903,0.60551885,0.32957637,0.00272056,17.8,0.69,100.5,111,168.9574,168.8642,0.001228501,0.115313437,0.007572118
0.048571429,0.051428571,0.18952381,0.32,0.021904762,16,0.459081836,0.268463074,0.097804391,0.0249501,0.083832335,0.065868263,4,0,0,31.17,0.376044568,0.610027855,0.006499536,0.007428041,5396,37262,43780,0.522602234,0.081325301,0.148259705,0.045850067,0.030789826,1077,1139,1077,0.317555147,0.607095047,0.327643909,0.025100402,17.8,0.69,100.5,111,20.80194,20.80023,0.00185701,2.007173516,0.013973595
0.047193878,0.047193878,0.227040816,0.25,0.06122449,20,0.206756757,0.413513514,0.124324324,0.148648649,0.054054054,0.047297297,4,0,0,31.17,0.503576538,0.493562232,0,0,5396,37262,43780,0.279846948,0.08277635,0.106940874,0.013367609,0.044730077,699,820,699,0.268518519,0.83496144,0.151156812,0,17.8,0.69,100.5,111,118.4865,114.6663,0.00286123,0.568159829,0.03461145
0.063480482,0.046333455,0.197738052,0.330901131,0.068223276,16,0.305722892,0.364834337,0.201807229,0.076054217,0.019201807,0.020331325,4,0,0,31.35,0.498591549,0.496981891,0,0.004426559,5396,37262,43780,0.517065078,0.125435013,0.159328189,0.008170676,0.028446058,2485,2825,2485,0.354931794,0.410954759,0.559993948,0,17.59,0.686,100.4,117,15.39043,15.31891,0.000804829,2.572693848,0.005991052
0,0.039173014,0.252448313,0.241566921,0.084874864,17,0.27217497,0.296476306,0.210206561,0.179829891,0.027946537,0,4,0,0,31.35,0.636666667,0.344166667,0,0.019166667,5396,37262,43780,0.285648996,0.094710508,0.136168692,0.020371694,0.042887777,1200,1694,1200,0.272928177,0.172623302,0.827376698,0,17.59,0.686,100.4,117,6.220415,6.191785,0.003333333,9.184745599,0.020419203
0.067732832,0.062088429,0.234242709,0.334901223,0.059266228,21,0.157996146,0.308285164,0.29672447,0.157996146,0.036608863,0.023121387,4,0,0,31.35,0.600934579,0.399065421,0,0,5396,37262,43780,0.362309218,0.066548673,0.14159292,0.015575221,0.040353982,1070,1541,1070,0.406989853,0.76920354,0.214159292,0.005663717,17.59,0.686,100.4,117,12.7191,12.7191,0.001869159,4.604272972,0.020729985
0.049660441,0.01655348,0.148556876,0.223259762,0.028013582,24,0.262719298,0.192982456,0.10745614,0.178508772,0.235526316,0.007017544,4,0,0,31.17,0.664134346,0.31107557,0,0.019192323,5396,37262,43780,0.103852273,0.073887753,0.112246502,0.009746895,0.051092596,2501,2821,2501,0.273768614,0.945920453,0.00157208,0,17.8,0.69,100.5,111,162.491,158.1754,0.00119952,0.493855168,0.012615472
0.025052192,0.028531663,0.185107864,0.32289492,0.057063326,12,0.45045045,0.392642643,0.057807808,0.068318318,0.005255255,0.018768769,4,0,0,31.35,0.508802817,0.481807512,0,0.009389671,5396,37262,43780,0.507745212,0.110087621,0.096158167,0.012356774,0.023814873,1704,2018,1704,0.306242145,0.292518535,0.636036846,0,17.59,0.686,100.4,117,9.487771,9.19638,0.000586854,0.82241722,0.001753068
0.0453125,0.041015625,0.30390625,0.2,0.10703125,16,0.326104418,0.41686747,0.106827309,0.081927711,0,0.05502008,4,0,0,31.35,0.641797032,0.358202968,0,0,5396,37262,43780,0.427702817,0.07269367,0.131988295,0.016941321,0.049437856,2493,2869,2493,0.32060326,0.69012783,0.30987217,0,17.59,0.686,100.4,117,17.57132,17.57132,0.000401123,0.562470477,0.001522154
